sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_318;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_319;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_320;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;;
OTU_321;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_322;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;
OTU_323;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;;;
OTU_324;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;uncultured;
OTU_325;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_326;Bacteria;NB1-j;;;;;
OTU_327;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus;Thiobios
OTU_328;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_329;Unclassified;;;;;;
OTU_330;Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma;
OTU_331;Unclassified;;;;;;
OTU_332;Unclassified;;;;;;
OTU_333;Unclassified;;;;;;
OTU_334;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;
OTU_335;Unclassified;;;;;;
OTU_336;Unclassified;;;;;;
OTU_337;Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales;Tenderiaceae;Candidatus;Tenderia
OTU_338;Unclassified;;;;;;
OTU_339;Unclassified;;;;;;
OTU_340;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_341;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_342;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;;
OTU_343;Bacteria;Acidobacteriota;Subgroup 22;;;;
OTU_344;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_345;Unclassified;;;;;;
OTU_346;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_347;Bacteria;Planctomycetota;vadinHA49;;;;
OTU_348;Unclassified;;;;;;
OTU_349;Unclassified;;;;;;
OTU_350;Unclassified;;;;;;
OTU_351;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_352;Unclassified;;;;;;
OTU_353;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_354;Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured;
OTU_355;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_356;Unclassified;;;;;;
OTU_357;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_358;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_359;Unclassified;;;;;;
OTU_360;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_361;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_362;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;;
OTU_363;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_364;Unclassified;;;;;;
OTU_365;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_366;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;;
OTU_367;Unclassified;;;;;;
OTU_368;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ahrensia;
OTU_369;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_370;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;
OTU_371;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_372;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_373;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;;
OTU_374;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_375;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_376;Unclassified;;;;;;
OTU_377;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;;
OTU_378;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_379;Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;;;
OTU_380;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured;
OTU_381;Unclassified;;;;;;
OTU_382;Unclassified;;;;;;
OTU_383;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_384;Bacteria;Planctomycetota;OM190;;;;
OTU_385;Unclassified;;;;;;
OTU_386;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_387;Unclassified;;;;;;
OTU_388;Unclassified;;;;;;
OTU_389;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_390;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_391;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_392;Bacteria;Planctomycetota;OM190;;;;
OTU_393;Bacteria;Planctomycetota;OM190;;;;
OTU_394;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Haloferula;
OTU_395;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;;
OTU_396;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomicrobium;
OTU_397;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter;
OTU_398;Unclassified;;;;;;
OTU_399;Unclassified;;;;;;
OTU_400;Bacteria;Planctomycetota;OM190;;;;
OTU_401;Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Xenococcaceae;uncultured;
OTU_402;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_403;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter;
OTU_404;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;;
OTU_405;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Planctomicrobium;
OTU_406;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_407;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_408;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_409;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;
OTU_410;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_411;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;Lewinella;
OTU_412;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ketogulonicigenium;
OTU_413;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_414;Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;;;
OTU_415;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_416;Unclassified;;;;;;
OTU_417;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_418;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_419;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_420;Unclassified;;;;;;
OTU_421;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_422;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;;;
OTU_423;Unclassified;;;;;;
OTU_424;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_425;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;;
OTU_426;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfococcus;
OTU_427;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS5 marine group;
OTU_428;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Rubinisphaera;
OTU_429;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured;
OTU_430;Unclassified;;;;;;
OTU_431;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_432;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_433;Unclassified;;;;;;
OTU_434;Bacteria;Latescibacterota;;;;;
OTU_435;Bacteria;Chloroflexi;Anaerolineae;SBR1031;;;
OTU_436;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_437;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
OTU_438;Unclassified;;;;;;
OTU_439;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Desulfuromusa;
OTU_440;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_441;Bacteria;Planctomycetota;OM190;;;;
OTU_442;Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales;;;
OTU_443;Archaea;Crenarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;;
OTU_444;Unclassified;;;;;;
OTU_445;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_446;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Roseibacillus;
OTU_447;Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;;
OTU_448;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas;
OTU_449;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_450;Unclassified;;;;;;
OTU_451;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_452;Unclassified;;;;;;
OTU_453;Bacteria;Acidobacteriota;Subgroup 26;;;;
OTU_454;Unclassified;;;;;;
OTU_455;Bacteria;;;;;;
OTU_456;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_457;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 17;;;
OTU_458;Unclassified;;;;;;
OTU_459;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;;
OTU_460;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_461;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_462;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_463;Unclassified;;;;;;
OTU_464;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_465;Unclassified;;;;;;
OTU_466;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_467;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_468;Unclassified;;;;;;
OTU_469;Unclassified;;;;;;
OTU_470;Unclassified;;;;;;
OTU_471;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_472;Unclassified;;;;;;
OTU_473;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;;
OTU_474;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquibacter;
OTU_475;Unclassified;;;;;;
OTU_476;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_477;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_478;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;uncultured;
OTU_479;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_480;Unclassified;;;;;;
OTU_481;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_482;Bacteria;Desulfobacterota;uncultured;;;;
OTU_483;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured;
OTU_484;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_485;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Oleispira;
OTU_486;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_487;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;
OTU_488;Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;
OTU_489;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
OTU_490;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_491;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 17;;;
OTU_492;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Limibacillus;
OTU_493;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_494;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;
OTU_495;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_496;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_497;Bacteria;Acidobacteriota;;;;;
OTU_498;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
OTU_499;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade;
OTU_500;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_501;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_502;Bacteria;Planctomycetota;OM190;;;;
OTU_503;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;DEV007;;
OTU_504;Bacteria;NB1-j;;;;;
OTU_505;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_506;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_507;Bacteria;NB1-j;;;;;
OTU_508;Unclassified;;;;;;
OTU_509;Unclassified;;;;;;
OTU_510;Unclassified;;;;;;
OTU_511;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Colwelliaceae;;
OTU_512;Bacteria;NB1-j;;;;;
OTU_513;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;;
OTU_514;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;
OTU_515;Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;;
OTU_516;Unclassified;;;;;;
OTU_517;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;;
OTU_518;Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;;
OTU_519;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_520;Unclassified;;;;;;
OTU_521;Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;;
OTU_522;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;
OTU_523;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_524;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;;
OTU_525;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus;
OTU_526;Unclassified;;;;;;
OTU_527;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Kangiellaceae;Aliikangiella;
OTU_528;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_529;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Thioglobaceae;;
OTU_530;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_531;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia;
OTU_532;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
OTU_533;Unclassified;;;;;;
OTU_534;Bacteria;Chloroflexi;Dehalococcoidia;SAR202 clade;;;
OTU_535;Unclassified;;;;;;
OTU_536;Unclassified;;;;;;
OTU_537;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;
OTU_538;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Candidatus;Thiobios
OTU_539;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
OTU_540;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;;
OTU_541;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_542;Unclassified;;;;;;
OTU_543;Unclassified;;;;;;
OTU_544;Bacteria;Planctomycetota;OM190;;;;
OTU_545;Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;;;
OTU_546;Unclassified;;;;;;
OTU_547;Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;EF100-94H03;;
OTU_548;Unclassified;;;;;;
OTU_549;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;Candidatus;Entotheonella
OTU_550;Unclassified;;;;;;
OTU_551;Bacteria;Planctomycetota;Pla3 lineage;;;;
OTU_552;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_553;Bacteria;NB1-j;;;;;
OTU_554;Unclassified;;;;;;
OTU_555;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;
OTU_556;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_557;Unclassified;;;;;;
OTU_558;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
OTU_559;Unclassified;;;;;;
OTU_560;Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured;
OTU_561;Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;;;
OTU_562;Unclassified;;;;;;
OTU_563;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured;
OTU_564;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured;
OTU_565;Unclassified;;;;;;
OTU_566;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
OTU_567;Unclassified;;;;;;
OTU_568;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;;
OTU_569;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_570;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;uncultured;
OTU_571;Bacteria;Planctomycetota;OM190;;;;
OTU_572;Unclassified;;;;;;
OTU_573;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;OM27 clade;
OTU_574;Unclassified;;;;;;
OTU_575;Bacteria;Planctomycetota;Phycisphaerae;CCM11a;;;
OTU_576;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_577;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_578;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_579;Unclassified;;;;;;
OTU_580;Unclassified;;;;;;
OTU_581;Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae;Candidatus;Entotheonella
OTU_582;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_583;Bacteria;SAR324 clade(Marine group B);;;;;
OTU_584;Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;;;
OTU_585;Unclassified;;;;;;
OTU_586;Bacteria;Planctomycetota;OM190;;;;
OTU_587;Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;
OTU_588;Unclassified;;;;;;
OTU_589;Unclassified;;;;;;
OTU_590;Unclassified;;;;;;
OTU_591;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_592;Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;;
OTU_593;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_594;Bacteria;Planctomycetota;BD7-11;;;;
OTU_595;Bacteria;Proteobacteria;Gammaproteobacteria;EPR3968-O8a-Bc78;;;
OTU_596;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;;
OTU_597;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;uncultured;
OTU_598;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;;;
OTU_599;Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;
OTU_600;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;
OTU_601;Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;;
OTU_602;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_603;Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade III;;
OTU_604;Bacteria;Planctomycetota;OM190;;;;
OTU_605;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;uncultured;
OTU_606;Bacteria;Gemmatimonadota;BD2-11 terrestrial group;;;;
OTU_607;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;;
OTU_608;Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;uncultured;
OTU_609;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;SH-PL14;
OTU_610;Unclassified;;;;;;
OTU_611;Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales;Tenderiaceae;Candidatus;Tenderia
OTU_612;Unclassified;;;;;;
OTU_613;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;;
OTU_614;Unclassified;;;;;;
OTU_615;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;uncultured;;
OTU_616;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;
OTU_617;Bacteria;Planctomycetota;Pla4 lineage;;;;
OTU_618;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_619;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;;
OTU_620;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;;
OTU_621;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Eudoraea;
OTU_622;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;uncultured;
OTU_623;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;uncultured;;
OTU_624;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_625;Unclassified;;;;;;
OTU_626;Bacteria;Planctomycetota;OM190;;;;
OTU_627;Unclassified;;;;;;
OTU_628;Unclassified;;;;;;
OTU_629;Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina;
OTU_630;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_631;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;
OTU_632;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;
OTU_633;Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;
OTU_634;Unclassified;;;;;;
OTU_635;Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus;
OTU_636;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;NS4 marine group;
OTU_637;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade;
OTU_638;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Cyanobium;PCC-6307
OTU_639;Unclassified;;;;;;
OTU_640;Unclassified;;;;;;
OTU_641;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_642;Bacteria;;;;;;
OTU_643;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_644;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Edaphobaculum;
OTU_645;Unclassified;;;;;;
OTU_646;Unclassified;;;;;;
OTU_647;Unclassified;;;;;;
OTU_648;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;
OTU_649;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Phaeocystidibacter;
OTU_650;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;
OTU_651;Unclassified;;;;;;
OTU_652;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;uncultured;
OTU_653;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;;
OTU_654;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;
OTU_655;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
